Date,ACWI,FEZ,SPY,HYG,LQD,TLT,USO,GLD
2015-03-22,50.90629578,30.33056068,179.2865601,56.69784927,90.62872314,106.18116,131.4400024,113.5699997
2015-03-23,50.95627975,30.46952057,178.9372101,56.741745,90.83750916,106.0519257,134.2400055,114.2900009
2015-03-24,50.80636597,30.62391853,177.9317474,56.82949448,90.97181702,107.0773926,134.3200073,114.5699997
2015-03-25,50.27330399,30.40776062,175.3244171,56.67905807,90.67341614,106.1730881,138.8800049,114.7300034
2015-03-26,50.0234375,30.14529419,174.9068909,56.67276764,90.11395264,104.5179214,145.6799927,115.4800034
2015-03-27,50.07341766,30.29197502,175.3073425,56.7166481,90.47203064,105.8178024,137.1199951,115.0599976
2015-03-28,50.07341766,30.29197502,175.3073425,56.7166481,90.47203064,105.8178024,137.1199951,115.0599976
2015-03-29,50.07341766,30.29197502,175.3073425,56.7166481,90.47203064,105.8178024,137.1199951,115.0599976
2015-03-30,50.5065155,30.40005302,177.4460602,56.87339401,90.62872314,105.2930069,137.8399963,113.75
2015-03-31,49.99013138,29.96774483,175.8953094,56.80439758,90.79279327,105.5190964,134.7200012,113.6600037
2015-04-01,50.14004898,30.23020935,175.2732849,56.92155075,91.05382538,106.9050446,140.6399994,115.5999985
2015-04-02,50.43988037,30.5467186,175.9038086,56.96561432,90.90427399,105.772316,140.4799957,115.2799988
2015-04-03,50.43988037,30.5467186,175.9038086,56.96561432,90.90427399,105.772316,140.4799957,115.2799988
2015-04-04,50.43988037,30.5467186,175.9038086,56.96561432,90.90427399,105.772316,140.4799957,115.2799988
2015-04-05,50.43988037,30.5467186,175.9038086,56.96561432,90.90427399,105.772316,140.4799957,115.2799988
2015-04-06,50.85633469,30.87095451,177.0881653,57.110466,91.02391052,105.1817169,147.4400024,116.6900024
2015-04-07,50.77304077,30.67795563,176.6195831,57.41273117,91.35305023,106.0635986,152.4799957,116.1100006
2015-04-08,51.0978775,30.59303474,177.2160645,57.4001503,91.32309723,106.095993,144.5599976,115.4700012
2015-04-09,51.29777145,30.51585197,177.999939,57.3434639,90.859375,104.7204971,144.2400055,114.6699982
2015-04-10,51.52266312,30.59303474,178.9713287,57.47571182,90.9865036,104.8742447,147.2799988,115.9700012
2015-04-11,51.52266312,30.59303474,178.9713287,57.47571182,90.9865036,104.8742447,147.2799988,115.9700012
2015-04-12,51.52266312,30.59303474,178.9713287,57.47571182,90.9865036,104.8742447,147.2799988,115.9700012
2015-04-13,51.2477951,30.41550064,178.1618042,57.3686409,90.956604,105.0198822,148,115.1399994
2015-04-14,51.43935776,30.53126907,178.5027161,57.39385986,91.1660614,105.764267,150.5599976,114.4400024
2015-04-15,51.72254562,30.63163567,179.3036194,57.6205368,91.22587585,105.6752396,157.6799927,115.4300003
2015-04-16,51.79750061,30.52355576,179.252533,57.5009346,91.17353821,105.1493225,159.5200043,115.0299988
2015-04-17,51.15617752,29.99089622,177.1904297,57.32458878,91.42034912,106.3548584,158.7200012,115.5999985
2015-04-18,51.15617752,29.99089622,177.1904297,57.32458878,91.42034912,106.3548584,158.7200012,115.5999985
2015-04-19,51.15617752,29.99089622,177.1904297,57.32458878,91.42034912,106.3548584,158.7200012,115.5999985
2015-04-20,51.43103027,30.091259,178.8094177,57.45053482,91.20346069,105.4163437,159.1199951,114.7200012
2015-04-21,51.58094406,30.23020935,178.5964355,57.48830032,91.18099213,104.9389801,155.6000061,115.3799973
2015-04-22,51.80583191,30.29969025,179.4740601,57.43163681,90.59005737,103.3369446,154.8800049,113.8300018
2015-04-23,51.99739456,30.38460541,179.9256592,57.41273117,90.82194519,103.7819214,158.0800018,114.6600037
2015-04-24,52.18062973,30.52355576,180.3431396,57.50719833,90.99399567,104.4292374,157.3600006,113.0500031
2015-04-25,52.18062973,30.52355576,180.3431396,57.50719833,90.99399567,104.4292374,157.3600006,113.0500031
2015-04-26,52.18062973,30.52355576,180.3431396,57.50719833,90.99399567,104.4292374,157.3600006,113.0500031
2015-04-27,52.16397858,30.94042206,179.5933228,57.52610397,90.92669678,104.4292374,156.1600037,115.3300018
2015-04-28,52.26392746,30.93270302,180.1641846,57.43791962,90.38811493,102.9890518,156.8000031,116.3300018
2015-04-29,51.96407318,30.50812149,179.4228821,57.33088684,89.64012909,101.7268677,160.9600067,115.5100021
2015-04-30,51.42269516,30.58531761,177.6250153,57.29940033,89.71492767,101.9048767,164.0800018,113.4700012
2015-05-01,51.88911819,30.87095451,179.5507355,57.42716599,89.21988678,100.5331116,163.1999969,113.0800018
2015-05-02,51.88911819,30.87095451,179.5507355,57.42716599,89.21988678,100.5331116,163.1999969,113.0800018
2015-05-03,51.88911819,30.87095451,179.5507355,57.42716599,89.21988678,100.5331116,163.1999969,113.0800018
2015-05-04,52.00571442,30.73971367,180.0620117,57.41453171,88.93483734,99.5845108,162.2400055,114.0999985
2015-05-05,51.34773636,30.15301704,177.999939,57.33859634,88.78487396,99.44668579,166.0800018,114.4199982
2015-05-06,51.20614243,30.5621624,177.2671356,57.16782379,88.4023056,97.74409485,166.5599976,114.3600006
2015-05-07,51.21446991,30.41550064,177.97435,57.1615181,88.75484467,99.05754852,161.6000061,113.4199982
2015-05-08,52.03070831,31.13341522,180.3176117,57.61061859,89.26486206,99.32505035,163.3600006,113.9700012
2015-05-09,52.03070831,31.13341522,180.3176117,57.61061859,89.26486206,99.32505035,163.3600006,113.9700012
2015-05-10,52.03070831,31.13341522,180.3176117,57.61061859,89.26486206,99.32505035,163.3600006,113.9700012
2015-05-11,51.72254562,30.73971367,179.4570465,57.25007248,88.36481476,96.90903473,163.0399933,113.5299988
2015-05-12,51.61426544,30.61619949,178.9202118,57.24373245,88.23728943,97.1603775,165.9199982,114.5
2015-05-13,51.74752045,30.69338608,178.9542694,57.1615181,88.1547699,96.3820343,164.8800049,116.5500031
2015-05-14,52.2972374,31.34955978,180.8202972,57.43981934,88.45487213,96.6414566,164.2400055,117.1800003
2015-05-15,52.39719009,31.34184074,181.0162964,57.56629562,89.06986237,98.57919312,164.1600037,117.5299988
2015-05-16,52.39719009,31.34184074,181.0162964,57.56629562,89.06986237,98.57919312,164.1600037,117.5299988
2015-05-17,52.39719009,31.34184074,181.0162964,57.56629562,89.06986237,98.57919312,164.1600037,117.5299988
2015-05-18,52.35553741,31.15656853,181.5787201,57.47144318,88.38732147,96.92526245,163.5200043,117.5199966
2015-05-19,52.26392746,31.21832848,181.519043,57.38289261,87.91480255,96.0658493,157.0399933,115.8899994
2015-05-20,52.25559616,31.31096649,181.3912354,57.31331253,88.01979065,96.22800446,158.7200012,116.0800018
2015-05-21,52.4638176,31.42676926,181.9195099,57.39554977,88.43983459,97.57386017,164,115.6900024
2015-05-22,52.25559616,31.08708954,181.4849548,57.43981934,88.37983704,97.61440277,162,115.5999985
2015-05-23,52.25559616,31.08708954,181.4849548,57.43981934,88.37983704,97.61440277,162,115.5999985
2015-05-24,52.25559616,31.08708954,181.4849548,57.43981934,88.37983704,97.61440277,162,115.5999985
2015-05-25,52.25559616,31.08708954,181.4849548,57.43981934,88.37983704,97.61440277,162,115.5999985
2015-05-26,51.5476265,30.28425407,179.5337067,57.3196373,88.7698288,99.2845459,157.5200043,113.9100037
2015-05-27,51.92243576,30.76286507,181.237854,57.44612885,88.85984802,99.51154327,155.8399963,113.8899994
2015-05-28,51.83081436,30.70111465,181.0333862,57.42082977,88.67232513,99.26828766,156.4799957,114.0199966
2015-05-29,51.42269516,30.12985229,179.9085846,57.50305557,88.70981598,99.48722839,162.4799957,114.0999985
2015-05-30,51.42269516,30.12985229,179.9085846,57.50305557,88.70981598,99.48722839,162.4799957,114.0999985
2015-05-31,51.42269516,30.12985229,179.9085846,57.50305557,88.70981598,99.48722839,162.4799957,114.0999985
2015-06-01,51.38938522,30.09897804,180.2750244,57.59965134,88.21266174,98.41795349,162.8800049,114
2015-06-02,51.47267151,30.40776062,180.0960236,57.49160385,87.76138306,97.04480743,165.4400024,114.4599991
2015-06-03,51.65591431,30.87095451,180.5732422,57.18031693,87.19722748,95.48482513,161.3600006,113.6399994
2015-06-04,51.15617752,30.41550064,179.0480347,56.99607468,87.64855957,96.72798157,157.2799988,112.8399963
2015-06-05,50.8480072,29.95230103,178.7412415,56.82452393,87.20475769,95.54988861,159.1999969,112.2399979
2015-06-06,50.8480072,29.95230103,178.7412415,56.82452393,87.20475769,95.54988861,159.1999969,112.2399979
2015-06-07,50.8480072,29.95230103,178.7412415,56.82452393,87.20475769,95.54988861,159.1999969,112.2399979
2015-06-08,50.64810562,29.89054298,177.6420593,56.82452393,87.14463806,95.44424438,157.6799927,112.5699997
2015-06-09,50.5231781,29.77475548,177.6165009,56.72925568,86.75348663,94.68858337,161.6799927,112.8199997
2015-06-10,51.27278137,30.62391853,179.7467041,56.80544281,86.52033234,93.85984039,165.1199951,113.7799988
2015-06-11,51.42269516,30.71656227,180.3261261,56.91982651,87.28754425,95.83424377,163.9199982,113.2600021
2015-06-12,51.06455994,30.28425407,178.9457703,56.71015549,87.13708496,95.83424377,162.1600037,113.2300034
2015-06-13,51.06455994,30.28425407,178.9457703,56.71015549,87.13708496,95.83424377,162.1600037,113.2300034
2015-06-14,51.06455994,30.28425407,178.9457703,56.71015549,87.13708496,95.83424377,162.1600037,113.2300034
